Name,StockPrice,MarketCap,P/L,Revenue,EPS,Beta,Dividend
Apple,170.09,2780000000000,28.24,378320000000,6.02,1.19,0.88
Microsoft,296.97,2230000000000,31.6,184900000000,9.4,0.92,2.48
Alphabet C,2680.21,1770000000000,23.75,257640000000,112.23,1.07,0
Alphabet A,2476,1760000000000,23.75,257640000000,112.23,1.07,0
Amazon,3089.21,1570000000000,47.74,469820000000,64.71,1.13,0
Tesla,1025.49,1060000000000,208.36,53820000000,4.92,2.09,0
Berkshire Hathaway A,529000,779500000000,8.86,276090000000,59702.47,0.86,0
Broadcom Mandatory,587,732320000000,33.44,28500000000,17.55,1.04,80
Meta Platforms,222.33,603520000000,16.13,117930000000,13.79,1.39,0
NVIDIA,231.19,579360000000,60.12,26910000000,3.85,1.45,0.16